sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
10020,2228,1,0,1,4.70,,
10021,6001,5,3,2,74.81,,
10024,6003,0,0,0,74.81,,
10025,1928.3,5,3,2,137.93,,
10026,6002,3,1,2,41.15,,
10027,1927.3,4,2,2,312.64,,
10030,9283.3,0,0,0,358.40,,
10341,X-10-M,1,1,0,36.62,,
10342,SS-1002,2,2,0,243.92,,
10345,SS-2000,2,2,0,420.73,,
10348,FN-201,4,2,2,355.06,,
10349,BN-202,6,3,3,410.45,,
10350,SP-5-B,0,0,0,866.62,,
10351,F-50,8,0,8,72.69,,
10352,SS-5000,0,0,0,763.25,,
10353,F-50W,10,4,6,72.69,,
10354,B-51,10,5,5,71.48,,
10355,S-53,25,12,13,71.48,,
10357,V-57W.2,10,4,6,74.51,,
10360,HF-742,2,1,1,215.41,,
10361,HF-743,12,6,6,215.41,,
10366,B-80,2,1,1,154.19,,
10367,B-81,4,2,2,154.19,,
10368,F-82,5,1,4,147.53,,
10369,F-83,27,15,12,147.53,,
10373,RU-90,15,7,8,132.07,,
10374,DNB-200,1,1,0,514.45,,
10377,DNP-200,0,0,0,514.45,,
10378,YB-500,0,0,0,1158.00,,
10391,220SW,9,4,5,33.33,,
10394,MMB-84,68,39,29,12.00,,
10442,SP-80-3,1,0,1,2484.30,,
10446,SRA-1,1,1,0,525.00,,
10472,SP-70-3,0,0,0,2484.30,,
10532,X-11Y,6,3,3,44.79,,
10533,FNW-201,1,0,1,355.06,,
10534,HF-742W,2,1,1,215.41,,
10535,HF-743W,6,4,2,215.41,,
10536,F-82W,8,3,5,147.53,,
10537,F-83W,5,1,4,147.53,,
10539,RA-91,5,3,2,71.48,,
10540,RA-93,9,4,5,71.48,,
10541,BN-C,8,3,5,28.50,,
10545,LL-C,0,0,0,34.29,,
10548,N-203-C,2,2,0,26.40,,
10549,NC-20,2,1,1,34.29,,
10550,GM-5-C,7,4,3,54.96,,
10552,010-10117-02,0,0,0,11.69,,
10562,010-10082-00,0,0,0,19.57,,
10563,010-10085-00,36,3,33,12.81,,
10578,010-10083-00,1,1,0,16.31,,
10595,390,0,0,0,216.63,,
10596,393,2,1,1,322.37,,
10597,396-1,6,3,3,137.26,,
10599,399-1M,3,0,3,239.94,,
10601,4018,0,0,0,389.59,,
10602,4018-M,3,3,0,397.93,,
10609,4351,3,3,0,72.07,,
10612,476,0,0,0,850.05,,
10618,5018,11,6,5,506.81,,
10627,5206-N,51,27,24,62.64,,
10631,5215,7,3,4,55.85,,
10632,5215-C-X,13,8,5,116.97,,
10636,5225-XT,105,47,58,159.36,,
10637,5226-XT,19,12,7,159.36,,
10640,5230,7,3,4,412.63,,
10648,5911,0,0,0,54.19,,
10658,408-R,4,0,4,15.79,,
10660,410-R,12,6,6,71.78,,
10661,4186-BP,13,13,0,10.65,,
10662,4186-U,7,7,0,9.99,,
10663,4187,33,29,4,38.67,,
10668,4352,8,2,6,33.08,,
10673,4365,8,4,4,19.22,,
10676,495-B,2,2,0,23.99,,
10679,5228,3,1,2,174.36,,
10680,5228-4,8,0,8,125.25,,
10682,81-S,4,0,4,53.99,,
10840,2100,5,5,0,46.75,,
10841,2101,5,2,3,40.28,,
10842,2300A,4,4,0,108.17,,
10844,2303A,0,0,0,147.13,,
10850,84-2056-01,12,6,6,123.27,,
11123,740011-1,6,6,0,24.14,,
11161,730000-1,0,0,0,62.09,,
11188,SPC-15RP,11,7,4,22.86,,
11196,SPC-40RP,6,6,0,30.00,,
11197,SPC-5P,9,5,4,13.73,,
11224,MA4056W,14,6,8,56.41,,
11234,MA905W,9,5,4,124.65,,
11235,MB21W,80,48,32,17.59,,
11236,MB21B,59,39,20,17.59,,
11237,MB41W,34,7,27,24.65,,
11238,MB41B,39,19,20,24.65,,
11241,WC-3,7,7,0,21.19,,
11273,250/120ST,0,0,0,105.00,,
11280,250/50/200ST,0,0,0,105.00,,
11301,1700/50/200T,2,1,1,119.00,,
